X1,FID_spireM,OBJECTID,LEAKSURVEY,LEAKSURV_1,LASTSURVEY,LEAKSURV_2,SURVEYAREA,TARGETMONT,COMMENTS,SURVEYCYCL,HCA,SHAPE_Leng,Polygon,FID_techFi,OBJECTID__,Survey_Typ,Leak_Locat,Leak_Grade,Marked_Fla,Leak_Loc_1,Probable_S,Gas_In,Surface_Ty,CGI_Test_G,CGI_Test_L,CGI_Test_P,Detected_B,Meter_Numb,Confirm_Me,House_Numb,Street,Street_2,Apt_Suite,City,Comments_1,Survey_Yea,Survey_Con,Grade_1_No,PRESSURETY,CreationDa,Creator,EditDate,NOTIFICATI,REPORTNUMB,NOTSTATUS,Work_Locat,X,Y
36,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,43,21125,3 Year,Underground,Grade 3,No,Meter,Meter,<10' FRM Building,Unsurfaced,<Null>,<Null>,50,CGI,<Null>,<Null>,2311,36TH AVE N,<Null>,<Null>,<Null>,Gas detected under house - unable to access meter,2020,Southern Cross,<Null>,<Null>,2020-02-25,Jackie.Butts1,2020-02-25,10579359,9200021125,<Null>,<Null>,-86.82421,33.556309000000006
37,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,111,21561,3 Year,Underground,Grade 1,No,Meter,Meter,<Null>,Unsurfaced,2,<Null>,<Null>,CGI,<Null>,gas reading inside the house meter locate under ho,2311,36TH AVE N,<Null>,<Null>,<Null>,<Null>,2020,Southern Cross,<Null>,<Null>,2020-03-02,leighton.landrum1,2020-03-02,10579608,9200021561,<Null>,<Null>,-86.82426600000001,33.556461
38,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,42,21124,3 Year,Underground,Grade 3,No,Meter,Meter,<10' FRM Building,Unsurfaced,<Null>,<Null>,107,CGI,BA647434,BA647434,2317,36TH AVE N,<Null>,<Null>,<Null>,Customer side,2020,Southern Cross,<Null>,<Null>,2020-02-25,Jackie.Butts1,2020-02-25,10579358,9200021124,<Null>,<Null>,-86.824093,33.556523999999996
39,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,26,20843,3 Year,Underground,Grade 1,No,Service,Service,<10' FRM Building,Unsurfaced,25,<Null>,<Null>,CGI,RA2302,RA2302,3424,26TH ST N,35th Ave. N,<Null>,Birmingham,"Masjidul Qur'an, <10 ft. from building, strong gas odor",2020,Southern Cross,<Null>,<Null>,2020-02-19,Jackie.Butts1,2020-02-19,10578961,9200020843,<Null>,<Null>,-86.820323,33.556554
40,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,44,21128,3 Year,Underground,Grade 3,No,Main,Main,Sanitary Manhole,Tar Mix,<Null>,<Null>,50,CGI,<Null>,<Null>,2240,36TH AVE N,<Null>,<Null>,<Null>,City of Birmingham Sanitary Sewer - methane detected,2020,Southern Cross,<Null>,<Null>,2020-02-25,Jackie.Butts1,2020-02-25,10579630,9200021128,<Null>,<Null>,-86.824455,33.556554999999996
41,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,41,20878,3 Year,Underground,Grade 3,No,Main,Main,Sanitary Manhole,Tar Mix,<Null>,<Null>,190,CGI,<Null>,<Null>,3520,27TH ST N,<Null>,<Null>,Birmingham,City of Birmingham Sanitary Sewer,2020,Southern Cross,<Null>,<Null>,2020-02-21,Jackie.Butts1,2020-02-21,10579354,9200020878,<Null>,<Null>,-86.82032099999999,33.557188000000004
42,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,5,20494,3 Year,Underground,Grade 1,No,<Null>,Service,Foundation,Concrete,25,93,<Null>,CGI,<Null>,<Null>,2725,35th Ave. N,<Null>,<Null>,BIRMINGHAM,"Foundation, asphalt, less than 5 ft. from building, strong gas odor, barholes - foundation, asphalt",2020,Southern Cross,<Null>,<Null>,2020-02-13,Jackie.Butts1,2020-02-14,10578710,9200020494,<Null>,<Null>,-86.817458,33.557359999999996
43,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,4,20488,3 Year,Underground,Grade 3,No,<Null>,Main,Sanitary Manhole,Tar Mix,<Null>,<Null>,50,CGI,<Null>,<Null>,3410,28TH PL N,<Null>,<Null>,BIRMINGHAM,"Methane detected, City of Birmingham Sanitary Sewer",2020,Southern Cross,<Null>,<Null>,2020-02-12,Jackie.Butts1,2020-02-12,10578863,9200020488,<Null>,<Null>,-86.81576700000001,33.557408
44,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,8,20507,3 Year,Underground,Grade 3,No,<Null>,Main,Street,Tar Mix,<Null>,5,<Null>,CGI,<Null>,<Null>,2803,35TH AVE N,28th St. N,<Null>,BIRMINGHAM,At intersection of 35th Ave & 28th St,2020,Southern Cross,<Null>,<Null>,2020-02-14,Jackie.Butts1,2020-02-14,10578875,9200020507,<Null>,<Null>,-86.817132,33.557496
45,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,46,21132,3 Year,Underground,Grade 2,No,Service,Service,10' - 20' FRM Building,Unsurfaced,<Null>,52,<Null>,CGI,BA775394,BA775394,3618,24TH ST N,<Null>,<Null>,<Null>,"<10+ ft. from residence, gas odor",2020,Southern Cross,<Null>,<Null>,2020-02-25,Jackie.Butts1,2020-02-25,10579633,9200021132,<Null>,<Null>,-86.823676,33.557532
46,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,40,20872,3 Year,Underground,Grade 3,No,Main,Main,Sanitary Manhole,Tar Mix,<Null>,<Null>,250,CGI,<Null>,<Null>,2525,36TH AVE N,Carraway Blvd,<Null>,Birmingham,City of Birmingham Sanitary Sewer; intersection of 36th Ave & Carraway Blvd,2020,Southern Cross,<Null>,<Null>,2020-02-21,Jackie.Butts1,2020-02-21,10579348,9200020872,<Null>,<Null>,-86.820465,33.557618
47,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,2,20485,3 Year,Underground,Grade 2,No,<Null>,Main,10' - 20' FRM Building,Unsurfaced,20,<Null>,<Null>,CGI,<Null>,<Null>,2827,35TH AVE N,28th PL N,<Null>,BIRMINGHAM,"Around utility pole, near United Steelworkers building, gas odor",2020,Southern Cross,<Null>,<Null>,2020-02-12,Jackie.Butts1,2020-02-12,10578860,9200020485,<Null>,<Null>,-86.81598100000001,33.557805
48,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,3,20487,3 Year,Underground,Grade 2,No,<Null>,Main,Curb,Concrete,<Null>,2,<Null>,CGI,<Null>,<Null>,2825,35TH AVE N,<Null>,<Null>,BIRMINGHAM,"Around stop sign, 2% LEL surface, 20+ from building, unable to make barhole in concrete",2020,Southern Cross,<Null>,<Null>,2020-02-12,Jackie.Butts1,2020-02-12,10578862,9200020487,<Null>,<Null>,-86.81581700000001,33.557840999999996
49,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,39,20869,3 Year,Underground,Grade 3,No,Main,Main,Street,Tar Mix,<Null>,<Null>,50,CGI,<Null>,<Null>,2418,37TH AVE N,24th St,<Null>,Birmingham,Bell System manhole cover; intersection of 24th St &37th Ave,2020,Southern Cross,<Null>,<Null>,2020-02-21,Jackie.Butts1,2020-02-21,10579346,9200020869,<Null>,<Null>,-86.82347,33.557926
50,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,35,20854,3 Year,Underground,Grade 3,No,Main,Main,Curb,Unsurfaced,<Null>,33,<Null>,CGI,<Null>,<Null>,2844,35TH AVE N,<Null>,<Null>,Birmingham,Below ground - on/near gas pipeline,2020,Southern Cross,<Null>,<Null>,2020-02-19,Jackie.Butts1,2020-02-19,10579334,9200020854,<Null>,<Null>,-86.814595,33.558309
