OBJECTID *,Survey Type,Leak Location,Leak Grade,Marked Flag,Leak Located,Probable Source,Gas In,Surface Type,CGI Test Gas,CGI Test LEL,CGI Test PPM,Detected By,Meter Number,Confirm Meter Number,House Number,Street,Street 2,Apt/Suite,City,Comments,Survey Year,Survey Contractor,Grade 1 Notification,PRESSURETY,CreationDa,Creator,EditDate,Editor,NOTIFICATION,REPORTNUMBER,NOTSTATUS,Work Location,X,Y
20878,3 Year,Underground,Grade 3,No,Main,Main,Sanitary Manhole,Tar Mix,<Null>,<Null>,190,CGI,<Null>,<Null>,3520,27TH ST N,<Null>,<Null>,Birmingham,City of Birmingham Sanitary Sewer ,2020,Southern Cross,<Null>,<Null>,2/21/20 19:53,Jackie.Butts1,2/21/20 19:53,Jackie.Butts1,10579354,9200020878,<Null>,<Null>,-86.820321,33.557188
21124,3 Year,Underground,Grade 3,No,Meter,Meter,<10' FRM Building,Unsurfaced,<Null>,<Null>,107,CGI,BA647434,BA647434,2317,36TH AVE N,<Null>,<Null>,<Null>,Customer side,2020,Southern Cross,<Null>,<Null>,2/25/20 14:37,Jackie.Butts1,2/25/20 14:37,Jackie.Butts1,10579358,9200021124,<Null>,<Null>,-86.824093,33.556524
21125,3 Year,Underground,Grade 3,No,Meter,Meter,<10' FRM Building,Unsurfaced,<Null>,<Null>,50,CGI,<Null>,<Null>,2311,36TH AVE N,<Null>,<Null>,<Null>,Gas detected under house - unable to access meter,2020,Southern Cross,<Null>,<Null>,2/25/20 14:49,Jackie.Butts1,2/25/20 14:49,Jackie.Butts1,10579359,9200021125,<Null>,<Null>,-86.82421,33.556309
21128,3 Year,Underground,Grade 3,No,Main,Main,Sanitary Manhole,Tar Mix,<Null>,<Null>,50,CGI,<Null>,<Null>,2240,36TH AVE N,<Null>,<Null>,<Null>,City of Birmingham Sanitary Sewer - methane detected,2020,Southern Cross,<Null>,<Null>,2/25/20 15:10,Jackie.Butts1,2/25/20 15:10,Jackie.Butts1,10579630,9200021128,<Null>,<Null>,-86.824455,33.556555
21130,3 Year,Underground,Grade 3,No,Main,Main,Street,Concrete,<Null>,9,<Null>,CGI,Riser,Riser,1401,12TH AVE N,<Null>,<Null>,<Null>,Leak found in Street patch,2020,Southern Cross,<Null>,<Null>,2/25/20 15:58,leighton.landrum1,2/25/20 15:58,leighton.landrum1,10579632,9200021130,<Null>,<Null>,-86.822058,33.523512
21132,3 Year,Underground,Grade 2,No,Service,Service,10' - 20' FRM Building,Unsurfaced,<Null>,52,<Null>,CGI,BA775394,BA775394,3618,24TH ST N,<Null>,<Null>,<Null>,"<10+ ft. from residence, gas odor",2020,Southern Cross,<Null>,<Null>,2/25/20 16:22,Jackie.Butts1,2/25/20 16:22,Jackie.Butts1,10579633,9200021132,<Null>,<Null>,-86.823676,33.557532
21139,3 Year,Underground,Grade 3,No,Main,Main,10' - 20' FRM Building,Concrete,<Null>,2,<Null>,CGI,<Null>,<Null>,2428,34TH AVE N,25th St.N,<Null>,<Null>,"Gas detected from storm drain, strong gas odor in area",2020,Southern Cross,<Null>,<Null>,2/25/20 20:14,Jackie.Butts1,2/25/20 20:15,Jackie.Butts1,10579638,9200021139,<Null>,<Null>,-86.821216,33.555452
21140,3 Year,Underground,Grade 2,No,Main,Main,10' - 20' FRM Building,Unsurfaced,30,<Null>,<Null>,CGI,<Null>,<Null>,2428,34TH AVE N,25th St. N.,<Null>,<Null>,"On/near gas pipeline, strong gas odor, resident complaint of gas odor, readings 30% - 85% gas",2020,Southern Cross,<Null>,<Null>,2/25/20 20:35,Jackie.Butts1,2/25/20 20:37,Jackie.Butts1,10579639,9200021140,<Null>,<Null>,-86.821226,33.555375
21146,3 Year,Underground,Grade 3,No,Service Cock,Meter,<10' FRM Building,Unsurfaced,<Null>,<Null>,134,CGI,BA929864,BA929864,2305,35TH AVE N,<Null>,<Null>,<Null>,Cut off/service cock,2020,Southern Cross,<Null>,<Null>,2/26/20 14:26,Jackie.Butts1,2/26/20 14:26,Jackie.Butts1,10579643,9200021146,<Null>,<Null>,-86.824127,33.555431
21148,3 Year,Underground,Grade 3,No,Service Riser,Service,<10' FRM Building,Unsurfaced,<Null>,4,440,CGI,<Null>,<Null>,1833,15TH AVE N,<Null>,C,<Null>,Apt/Suite C,2020,Southern Cross,<Null>,<Null>,2/26/20 14:43,Joel.Gibson1,2/26/20 14:44,Joel.Gibson1,10579645,9200021148,<Null>,<Null>,-86.818824,33.529985
21149,3 Year,Underground,Grade 3,No,Main,Main,Curb,Concrete,<Null>,4,<Null>,CGI,N/A,N/A,2128,35TH AVE N,Between 35th and 36th Ave. N,<Null>,<Null>,Drain - beneath sidewalk; Between 35th and 36th Ave. N at alley,2020,Southern Cross,<Null>,<Null>,2/26/20 14:50,Jackie.Butts1,2/26/20 14:50,Jackie.Butts1,10579646,9200021149,<Null>,<Null>,-86.826133,33.555444
21152,3 Year,Underground,Grade 3,No,Main,Main,Street,Tar Mix,<Null>,4,402,CGI,<Null>,<Null>,1805,14TH AVE N,<Null>,<Null>,<Null>,gas valve in street ,2020,Southern Cross,<Null>,<Null>,2/26/20 15:21,Joel.Gibson1,2/26/20 15:21,Joel.Gibson1,10579648,9200021152,<Null>,<Null>,-86.819203,33.52848
21154,3 Year,Underground,Grade 2,No,Main,Main,Curb,Concrete,<Null>,82,<Null>,CGI,N/A,N/A,2128,35TH AVE N,35th/36th Ave. N,<Null>,<Null>,"Under sidewalk - on/near gas pipeline, gas odor; Between 35th and 36th Ave. N at alley",2020,Southern Cross,<Null>,<Null>,2/26/20 15:47,Jackie.Butts1,2/26/20 15:47,Jackie.Butts1,10579650,9200021154,<Null>,<Null>,-86.826129,33.555484
21157,3 Year,Underground,Grade 2,No,Main,Main,Street,Tar Mix,79,<Null>,<Null>,Odor,N/A,N/A,2128,35TH AVE N,22nd St. N,<Null>,<Null>,"Cracks in street, on/near gas pipeline, gas odor; 35th Ave & 22nd St Intersection",2020,Southern Cross,<Null>,<Null>,2/26/20 16:09,Jackie.Butts1,2/26/20 16:44,Jackie.Butts1,10579653,9200021157,<Null>,<Null>,-86.825878,33.554992
21158,3 Year,Underground,Grade 3,No,Main,Main,Sanitary Manhole,Tar Mix,<Null>,5,<Null>,CGI,N/A,N/A,2505,32ND AVE N,<Null>,<Null>,<Null>,City of Birmingham Sanitary Sewer ,2020,Southern Cross,<Null>,<Null>,2/26/20 20:34,Jackie.Butts1,2/26/20 20:34,Jackie.Butts1,10579654,9200021158,<Null>,<Null>,-86.819847,33.55341
21159,3 Year,Underground,Grade 3,No,Main,Main,Sanitary Manhole,<Null>,<Null>,<Null>,50,CGI,<Null>,<Null>,2429,32ND AVE N,<Null>,<Null>,<Null>,"City of Birmingham Storm Sewer, methane detected ",2020,Southern Cross,<Null>,<Null>,2/26/20 20:53,Jackie.Butts1,2/26/20 20:53,Jackie.Butts1,10579655,9200021159,<Null>,<Null>,-86.820429,33.553351
21160,3 Year,Underground,Grade 1,No,Service,Service,10' - 20' FRM Building,Unsurfaced,85,<Null>,<Null>,CGI,<Null>,<Null>,2510,32ND AVE N,<Null>,<Null>,<Null>,"Front yard, gas odor",2020,Southern Cross,<Null>,<Null>,2/26/20 21:18,Jackie.Butts1,2/26/20 21:26,Jackie.Butts1,20521102,9200021160,<Null>,<Null>,-86.819735,33.553603
21163,3 Year,Underground,Grade 3,No,Service Cock,Service,10' - 20' FRM Building,Unsurfaced,<Null>,3,442,CGI,<Null>,<Null>,1808,13TH CT N,<Null>,<Null>,<Null>,SLO,2020,Southern Cross,<Null>,<Null>,2/27/20 13:45,Joel.Gibson1,2/27/20 13:46,Joel.Gibson1,10579656,9200021163,<Null>,<Null>,-86.818553,33.527982
21164,3 Year,Underground,Grade 3,No,Service Riser,Meter,<10' FRM Building,Unsurfaced,<Null>,2,<Null>,CGI,RISER ONLY,RISER ONLY,2417,32ND AVE N,<Null>,<Null>,<Null>,RISER ONLY,2020,Southern Cross,<Null>,<Null>,2/27/20 14:35,Jackie.Butts1,2/27/20 14:35,Jackie.Butts1,10579657,9200021164,<Null>,<Null>,-86.820771,33.552928
21170,3 Year,Underground,Grade 3,No,Valve,Main,Street,Tar Mix,<Null>,4,362,CGI,<Null>,<Null>,2111,15TH AVE N,<Null>,<Null>,<Null>,valve in street by alley way ,2020,Southern Cross,<Null>,<Null>,2/27/20 15:34,Joel.Gibson1,2/27/20 15:34,Joel.Gibson1,10579659,9200021170,<Null>,<Null>,-86.81366,33.53399
21178,3 Year,Underground,Grade 3,No,Service Cock,Service,10' - 20' FRM Building,<Null>,<Null>,2,323,CGI,<Null>,<Null>,1914,19TH CT N,<Null>,<Null>,<Null>,<Null>,2020,Southern Cross,<Null>,<Null>,2/27/20 17:29,Joel.Gibson1,2/27/20 17:30,Joel.Gibson1,10579665,9200021178,<Null>,<Null>,-86.820251,33.536724
21180,3 Year,Underground,Grade 3,No,Service Cock,Service,10' - 20' FRM Building,Unsurfaced,<Null>,4,332,CGI,<Null>,<Null>,1935,21ST AVE N,<Null>,<Null>,<Null>,<Null>,2020,Southern Cross,<Null>,<Null>,2/27/20 18:01,Joel.Gibson1,2/27/20 18:01,Joel.Gibson1,10579666,9200021180,<Null>,<Null>,-86.819412,33.536948
21181,3 Year,Underground,Grade 3,No,Main,Main,Street,Tar Mix,<Null>,4,<Null>,CGI,<Null>,<Null>,3112,25TH ST N,<Null>,<Null>,<Null>,Hole in street,2020,Southern Cross,<Null>,<Null>,2/27/20 18:05,Jackie.Butts1,2/27/20 18:05,Jackie.Butts1,10579667,9200021181,<Null>,<Null>,-86.82023,33.552962
