,LeakName,Longitude,Latitude,Verified,TimesSeen,maxDist,mn_maxc2h6_ab,mn_maxch4_ab,threshold,First_Time,geometry,win,POLYGON,LEAKNUM,PolyLK
57,Spire_1606924578.9,-86.82600161639313,33.551477079248876,False,1,17.482961494473503,4.6599375,1.7479949999999995,0.05,2020-12-02 08:56:18,POINT (-86.82600161639313 33.55147707924888),True,P3,58,P3L58
58,Spire_1606924600.7,-86.82550600255966,33.55029451800291,False,1,14.04855569528388,5.8405675000000015,1.7352550000000002,0.05,2020-12-02 08:56:40,POINT (-86.82550600255966 33.55029451800291),True,P3,59,P3L59
59,Spire_1606924621.2,-86.82517270921585,33.54948342113766,False,1,29.29432529500891,4.614175,1.7006374999999998,0.05,2020-12-02 08:57:01,POINT (-86.82517270921585 33.54948342113766),True,P3,60,P3L60
60,Spire_1606924641.6,-86.82485451517537,33.54875180455167,False,1,3.8753161730372185,3.9406449999999995,1.6390399999999998,0.05,2020-12-02 08:57:21,POINT (-86.82485451517537 33.54875180455167),True,P3,61,P3L61
61,Spire_1606924792.5,-86.82776956553788,33.548154104053395,False,1,20.11034107410735,10.553814999999998,2.52828,0.05,2020-12-02 08:59:52,POINT (-86.82776956553788 33.5481541040534),True,P3,62,P3L62
62,Spire_1606925198.8,-86.82754098247935,33.55125682823368,True,2,29.246829347997163,3.5741249999999987,0.96146,0.05,2020-12-02 09:06:38,POINT (-86.82754098247935 33.55125682823368),True,P3,63,P3L63
63,Spire_1606925586.1,-86.81368236626173,33.55260047015695,False,1,8.551530868083862,2.3508000000000013,0.3147650000000004,0.05,2020-12-02 09:13:06,POINT (-86.81368236626173 33.55260047015695),True,P3,64,P3L64
64,Spire_1606925917.1,-86.81153106689999,33.55975571783666,False,1,2.1326662531491785,2.555300000000006,0.20230000000000006,0.05,2020-12-02 09:18:37,POINT (-86.81153106689999 33.55975571783666),True,P3,65,P3L65
65,Spire_1606925952.9,-86.8146606167405,33.55841552700103,True,3,30.194523971516126,4.91763325,0.3935999999999997,0.05,2020-12-02 09:19:12,POINT (-86.8146606167405 33.55841552700103),True,P3,66,P3L66
66,Spire_1606993581.3,-86.82225755795666,33.55424351239365,False,1,0.3985574238767491,3.4172,0.3920049999999988,0.05,2020-12-03 04:06:21,POINT (-86.82225755795666 33.55424351239365),True,P3,67,P3L67
67,Spire_1606993753.4,-86.81955615026409,33.560474001200745,True,4,40.15843531846228,3.45678575,0.2943799999999997,0.05,2020-12-03 04:09:13,POINT (-86.81955615026409 33.56047400120075),True,P3,68,P3L68
68,Spire_1606995450.8,-86.81960308316229,33.558929160771164,False,1,22.687476365573865,7.04875,0.6531500000000006,0.05,2020-12-03 04:37:30,POINT (-86.81960308316229 33.55892916077116),True,P3,69,P3L69
69,Spire_1606995961.5,-86.81703230273583,33.55762374028358,True,2,9.189679763214812,3.6006933333333335,0.7620266666666664,0.05,2020-12-03 04:46:01,POINT (-86.81703230273583 33.55762374028358),True,P3,70,P3L70
70,Spire_1606996096.2,-86.8143152520796,33.55395591230855,False,1,0.7984790801004067,2.6203974999999997,1.6553000000000002,0.05,2020-12-03 04:48:16,POINT (-86.8143152520796 33.55395591230855),True,P3,71,P3L71
71,Spire_1606996714.3,-86.82814612695766,33.554305398466866,False,1,0.8075401016744195,2.307595,0.19987999999999986,0.05,2020-12-03 04:58:34,POINT (-86.82814612695766 33.55430539846687),True,P3,72,P3L72
72,Spire_1606997725.7,-86.8169005083935,33.55432217712855,False,1,6.169646752352206,3.474800000000002,0.331,0.05,2020-12-03 05:15:25,POINT (-86.8169005083935 33.55432217712855),True,P3,73,P3L73
73,Spire_1606998418.4,-86.82794799131369,33.548825306637156,True,2,21.862090281281404,3.0325670000000007,0.2987124999999999,0.05,2020-12-03 05:26:58,POINT (-86.82794799131369 33.54882530663716),True,P3,74,P3L74
74,Spire_1606999715.7,-86.81877345817142,33.55361786097599,False,1,22.272908706125413,11.719917500000001,1.9319125,0.05,2020-12-03 05:48:35,POINT (-86.81877345817142 33.55361786097599),True,P3,75,P3L75
